OBJECTID	LandslideCount2018	LandslideCount2020	Landslide2018	Landslide2020	TARGET_FID	Area_SU	CoordX	CoordY	ExpandedSL2020	ExpandedSL2018	ElevationR	ElevationM	ElevationSTD	SlopeR	SlopeM	SlopeSTD	SoildepthR	SoildepthM	SoilDepthSTD	AspectR	AspectM	AspectSTD	PlanCurvR	PlanCurvM	PlanCurvSTD	ProfCurvR	ProfCurvM	ProfCurvSTD	RelRelfR	RelRelfM	RelRelfSTD	TWIR	TWIM	TWISTD	SoilType	DistRR	DistRM	DistSTD	Rain201317MAX	Rain201317R	Rain201317M	Rain201317STD	Rain201321MAX	Rain201321R	Rain201321M	Rain201321STD	SPIR	SPIM	SPISTD	LULC20172021	LULC20172018	NDVI20172021	NDVI20172018
794	0	0	0	0	793	14957.09961	92.1613007	21.1987			20.25136423	12.11554728	4.400617219	43.24468151	16.40786514	9.301412012	2.349158287	2.821276322	0.510471597	359.9865115	202.0111054	77.27536046	1.563734293	0.003932593	0.093335211	1.441557646	-0.003913459	0.10901111	7.733869553	18.94093884	1.456415344	14.8348186	3.240821704	1.716211363	1	51.21393967	16.84913667	11.39884532	610.9616699	40.55548096	595.4296302	8.018049724	627.0217285	40.55554199	611.4896278	8.018049704	20.11436129	-0.245759694	3.165003106	8	8	7	7
795	0	0	0	0	794	3409.679932	92.1464005	21.1977997			15.96230316	20.95576489	4.462630255	37.46266437	18.918928	8.230333807	1.851626873	1.795811097	0.517665094	359.9893188	302.4354948	73.91405633	1.324889958	0.002076656	0.129834597	1.254143119	-0.001226236	0.129570809	2.198026657	16.58649571	0.455496292	14.07445732	3.067709422	1.976569205	5	57.28467464	35.6836063	12.33004792	614.286438	17.98187256	607.8758969	4.748912652	630.3464355	17.98181152	623.9358947	4.74891285	20.08650303	-0.581758811	3.911929253	10	8	8	7
796	0	0	0	0	795	1707.439941	92.149498	21.1977997			12.44412994	11.69796061	3.603467089	33.47869933	14.73802274	10.10143352	1.443519115	2.869716368	0.418002177	359.9209381	79.16321052	108.167204	2.278717279	0.005885237	0.129555098	3.25308001	-0.004040681	0.227608552	4.324300766	15.74194648	1.021591751	13.48245025	3.468751792	2.121958865	4	32.6888237	9.582279736	7.738542632	607.6672363	20.02532959	595.2287649	6.089574731	623.7272339	20.02532959	611.2887625	6.089574879	20.01482391	-1.525384676	4.163157624	10	10	7	7
797	0	0	0	0	796	5006.830078	92.1326981	21.1977997			16.15600014	19.49134753	4.633350977	62.47424189	16.79960498	11.54221135	1.874095917	1.965683507	0.537468697	359.8026156	141.5914903	54.79015972	8.78406477	-0.003309372	0.421734092	8.324883699	0.003562516	0.379613054	2.129436493	14.86750312	0.419765405	11.47570336	2.228009495	1.726368761	6	131.3325806	442.4581131	30.86398421	614.3303223	18.2689209	606.2732374	5.010535299	630.3902588	18.26885986	622.3332352	5.010535378	19.2320385	-3.324441846	4.560622341	10	10	8	7
798	0	0	0	0	797	4695.149902	92.1604996	21.1980991			21.28480005	13.22611557	5.998269588	40.97025971	18.20778987	8.576209152	2.469036818	2.692450409	0.695799271	359.6387362	247.9596715	33.86960106	3.11332047	0.001789487	0.104652986	2.531175017	-0.004894675	0.138761466	2.551765442	19.3462481	0.405533667	13.10877484	3.168437431	1.561334825	1	33.52356339	10.82423296	8.075797239	612.0985718	40.02270508	596.2621938	10.58339529	628.1585693	40.02270508	612.322191	10.583395	19.81731224	0.089549582	3.224148821	8	8	7	7
799	0	1	0	1	798	2197.540039	92.1389008	21.1977005	67.3046036		14.68420696	17.8278818	4.449140806	62.34490115	21.28198347	13.37635247	1.703367949	2.158645527	0.516100318	359.7623568	97.90158087	83.09554768	13.26932096	0.003849965	0.612473437	9.923839092	-0.004898028	0.539195416	2.420212746	15.45525689	0.685615507	10.93130445	2.115947586	1.778628008	5	52.01272583	15.96378473	12.9101624	611.9075317	18.86090088	604.3084171	5.444252473	627.9675293	18.86090088	620.3684143	5.444252569	19.34095383	-2.640369165	4.32774028	10	10	7	7
800	0	0	0	0	799	1111.160034	92.1453018	21.1977005			14.02656555	16.53953463	4.151736585	30.24123597	15.42286669	5.842444444	1.627081633	2.308093795	0.48160143	359.3136352	59.44393259	47.96456747	0.864269465	0.008821806	0.111494001	0.766956657	-0.00488419	0.108769247	0.526483536	16.48924142	0.09872171	13.000789	3.147287038	1.875067441	5	25.82756424	9.224011968	6.893292608	612.2615967	17.08203125	602.7786363	5.159599389	628.3215942	17.08203125	618.838634	5.159599274	17.34137535	-0.957467683	4.037909603	10	8	7	7
801	0	0	0	0	800	15957.90039	92.1399994	21.1984005			22.8639555	19.11012695	5.112843669	43.26024725	16.81301085	10.00899752	2.652218819	2.009905093	0.593089849	359.8828508	170.8235533	65.60228099	5.427929878	0.003892856	0.129940249	3.206534982	-0.003527373	0.123323512	6.123620987	16.57360547	1.496565517	15.74171394	3.106951911	1.948297687	5	108.5553131	39.25068275	26.89361437	617.9917603	24.64251709	605.7134086	5.576331422	634.0517578	24.64251709	621.7734061	5.576331375	20.41701221	-0.963553881	3.857277352	8	10	7	7
802	0	0	0	0	801	4186.640137	92.164299	21.1979008			17.76479387	14.45070438	4.335371103	38.07468392	16.39484415	7.573454271	2.060716152	2.550398101	0.502903042	359.011975	233.20599	47.51441509	1.86216253	0.000805755	0.0769508	1.905210733	-0.001423218	0.083825297	3.211650848	19.45612166	0.627419564	15.24779508	3.402534292	1.569270329	1	81.06647491	31.2007894	18.62763478	610.8474731	29.46234131	599.5243196	6.903371214	626.9074707	29.46234131	615.5843172	6.903371203	19.07658148	0.379020954	2.659530625	8	8	7	7
803	0	0	0	0	802	4972.02002	92.1526031	21.198			18.08209419	12.49125597	5.236535051	42.07707981	17.2732099	10.43588613	2.097522974	2.777694122	0.607438067	359.1829994	115.0616421	34.23916978	1.194432557	0.00656634	0.105178559	1.142401993	-0.006595118	0.102477809	3.714958191	16.83166762	0.682154595	14.09487334	3.310513465	1.914245727	4	73.21727753	32.52679974	19.32774652	611.0744629	29.91278076	595.6135998	9.067575574	627.1344604	29.91278076	611.6735974	9.067575654	19.89808559	-0.426978619	3.4806329	10	8	8	7
